ID,time,latitude,longitude,drogue_lost_date,ve,vn,gap,typebuoy
,UTC,degrees_north,degrees_east,UTC,m/s,m/s,seconds,
116362,2015-01-01T12:00:00Z,29.3411,-58.15198,2014-08-19T00:00:00Z,-0.0057,0.1291,460.5,SVP
116362,2015-01-01T13:00:00Z,29.34452,-58.15299,2014-08-19T00:00:00Z,0.1584,0.0894,140.70834,SVP
116362,2015-01-01T14:00:00Z,29.34716,-58.14812,2014-08-19T00:00:00Z,0.0913,-0.1028,112.5,SVP
116362,2015-01-01T15:00:00Z,29.3425,-58.14487,2014-08-19T00:00:00Z,0.0978,-0.1643,355.0417,SVP
116362,2015-01-01T16:00:00Z,29.33889,-58.1414,2014-08-19T00:00:00Z,0.0997,-0.1624,355.0417,SVP
116362,2015-01-01T17:00:00Z,29.33498,-58.1385,2014-08-19T00:00:00Z,0.1042,-0.1675,355.0417,SVP
116362,2015-01-01T18:00:00Z,29.32751,-58.13153,2014-08-19T00:00:00Z,0.1541,-0.1711,246.16667,SVP
116362,2015-01-01T19:00:00Z,29.32151,-58.12577,2014-08-19T00:00:00Z,0.1212,-0.155,161.70833,SVP
116362,2015-01-01T20:00:00Z,29.31816,-58.12201,2014-08-19T00:00:00Z,0.0572,-0.0665,256.66666,SVP
116362,2015-01-01T21:00:00Z,29.31441,-58.11965,2014-08-19T00:00:00Z,0.0593,-0.0806,256.66666,SVP
116362,2015-01-01T22:00:00Z,29.31536,-58.11562,2014-08-19T00:00:00Z,0.1144,0.0382,101.833336,SVP
116362,2015-01-01T23:00:00Z,29.31199,-58.10835,2014-08-19T00:00:00Z,0.2111,-0.0673,246.16667,SVP
116362,2015-01-02T00:00:00Z,29.31344,-58.10106,2014-08-19T00:00:00Z,0.1598,-0.2959,98.416664,SVP
116362,2015-01-02T01:00:00Z,29.30511,-58.09957,2014-08-19T00:00:00Z,-0.0149,-0.0988,98.416664,SVP
116362,2015-01-02T02:00:00Z,29.30156,-58.09176,2014-08-19T00:00:00Z,0.1482,-0.0991,639.9166,SVP
116362,2015-01-02T03:00:00Z,29.29844,-58.08554,2014-08-19T00:00:00Z,0.1465,-0.0989,639.9166,SVP
